TagID,Colony Color,Depth.ft,Samp.Date,ColonyDNA.ID,UNIQUEID,Land_Ocean,SampleNum,SampLoc,Sub.loc,BranchLoc,Sample_name,Zoox,CD_few,Location,LocSamp
963,Orange,7,7/18/19,I,I10,Land,10,Branch  ,mid,Outer,I10,CD,Few,Branch mid,Branch mid_I10
963,Orange,7,7/18/19,I,I11,Land,11,Branch  ,base,Inner,I11,CD,Few,Branch base,Branch base_I11
963,Orange,7,7/18/19,I,I12,Land,12,Branch ,tip,,I12,CD,Few,Branch tip,Branch tip_I12
963,Orange,7,7/18/19,I,I13,Land,13,Branch  ,mid,Inner,I13,CD,Few,Branch mid,Branch mid_I13
963,Orange,7,7/18/19,I,I14,Land,14,Branch  ,base,Inner,I14,CD,Few,Branch base,Branch base_I14
963,Orange,7,7/18/19,I,I15,Land,15,Deepest,,,I15,CD,Few,Deepest,Deepest_I15
963,Orange,7,7/18/19,I,I16,Land,16,Lowest,,,I16,CD,Few,Lowest,Lowest_I16
961,Brown,6,7/19/19,J,J1,Ocean,1,Branch ,tip,,J1,C,,Branch tip,Branch tip_J1
961,Brown,6,7/19/19,J,J2,Ocean,2,Branch  ,mid,Outer,J2,C,,Branch mid,Branch mid_J2
961,Brown,6,7/19/19,J,J3,Ocean,3,Branch  ,base,Inner,J3,C,,Branch base,Branch base_J3
961,Brown,6,7/19/19,J,J4,Ocean,4,Plate ,top,,J4,C,,Plate top,Plate top_J4
961,Brown,6,7/19/19,J,J5,Ocean,5,Plate ,edge,,J5,C,,Plate edge,Plate edge_J5
961,Brown,6,7/19/19,J,J6,Ocean,6,Plate ,underside,,J6,C,,Plate underside,Plate underside_J6
961,Brown,6,7/19/19,J,J7,Ocean,7,Deepest,,,J7,C,,Deepest,Deepest_J7
961,Brown,6,7/19/19,J,J8,Ocean,8,Lowest,,,J8,C,,Lowest,Lowest_J8
961,Brown,6,7/19/19,J,J9,Land,9,Branch ,tip,,J9,C,,Branch tip,Branch tip_J9
961,Brown,6,7/19/19,J,J10,Land,10,Branch ,mid,,J10,C,,Branch mid,Branch mid_J10
961,Brown,6,7/19/19,J,J11,Land,11,Branch  ,base,Inner,J11,C,,Branch base,Branch base_J11
961,Brown,6,7/19/19,J,J12,Land,12,Plate ,top,,J12,C,,Plate top,Plate top_J12
961,Brown,6,7/19/19,J,J13,Land,13,Plate ,edge,,J13,C,,Plate edge,Plate edge_J13
961,Brown,6,7/19/19,J,J14,Land,14,Plate ,underside,,J14,C,,Plate underside,Plate underside_J14
961,Brown,6,7/19/19,J,J15,Land,15,Deepest,,,J15,C,,Deepest,Deepest_J15
961,Brown,6,7/19/19,J,J16,Land,16,Lowest,,,J16,C,,Lowest,Lowest_J16
981,Brown,8,7/19/19,K,K1,Ocean,1,Branch ,tip,,K1,CD,,Branch tip,Branch tip_K1
981,Brown,8,7/19/19,K,K2,Ocean,2,Branch  ,mid,Inner,K2,CD,,Branch mid,Branch mid_K2
981,Brown,8,7/19/19,K,K3,Ocean,3,Branch  ,base,Outer,K3,CD,,Branch base,Branch base_K3
981,Brown,8,7/19/19,K,K4,Ocean,4,Branch ,tip,,K4,CD,,Branch tip,Branch tip_K4
981,Brown,8,7/19/19,K,K5,Ocean,5,Branch  ,mid,Outer,K5,CD,,Branch mid,Branch mid_K5
981,Brown,8,7/19/19,K,K6,Ocean,6,Branch  ,base,Outer,K6,CD,,Branch base,Branch base_K6
981,Brown,8,7/19/19,K,K7,Ocean,7,Deepest,,,K7,CD,,Deepest,Deepest_K7
981,Brown,8,7/19/19,K,K8,Ocean,8,Lowest,,,K8,CD,,Lowest,Lowest_K8
981,Brown,8,7/19/19,K,K9,Land,9,Branch ,tip,,K9,CD,,Branch tip,Branch tip_K9
981,Brown,8,7/19/19,K,K10,Land,10,Branch  ,mid,Outer,K10,CD,,Branch mid,Branch mid_K10
981,Brown,8,7/19/19,K,K11,Land,11,Branch  ,base,Inner,K11,CD,,Branch base,Branch base_K11
981,Brown,8,7/19/19,K,K12,Land,12,Branch ,tip,,K12,CD,,Branch tip,Branch tip_K12
981,Brown,8,7/19/19,K,K13,Land,13,Branch  ,mid,Inner,K13,CD,,Branch mid,Branch mid_K13
981,Brown,8,7/19/19,K,K14,Land,14,Branch  ,base,Outer,K14,CD,,Branch base,Branch base_K14
981,Brown,8,7/19/19,K,K15,Land,15,Deepest,,,K15,CD,,Deepest,Deepest_K15
981,Brown,8,7/19/19,K,K16,Land,16,Lowest,,,K16,CD,,Lowest,Lowest_K16
967,Orange,7,7/22/19,L,L1,Ocean,1,Branch,tip,,L1,C,,Branch tip,Branch tip_L1
967,Orange,7,7/22/19,L,L2,Ocean,2,Branch  ,mid,Outer,L2,C,,Branch mid,Branch mid_L2
967,Orange,7,7/22/19,L,L3,Ocean,3,Branch  ,base,Inner,L3,C,,Branch base,Branch base_L3
967,Orange,7,7/22/19,L,L4,Ocean,4,Branch ,tip,,L4,C,,Branch tip,Branch tip_L4
